SK_ID_CURR,risk_band,final_pd,intervention,case_summary,customer_message,latency_seconds
350678,RED,0.2889869895948924,Escalate for manual credit review and enhanced monitoring,"This customer is at financial risk because they have a history of not managing their debt well with other lenders, which raises concerns about their ability to repay our loan. Additionally, a third-party assessment also views them as high-risk, possibly due to past late payments or a limited credit history. A recent change in their phone number is also a red flag, as it may indicate they are trying to avoid being contacted about their debts.","Hi, I'm your relationship manager at the bank. I wanted to check in with you about your loan and see if there's a way we can make your payments more manageable - extending your tenure to 48 months could lower your monthly EMI to Rs 9,084, saving you Rs 7,350 each month. You also have an emergency credit of Rs 112,500 available if you need it. Let's work together to find a solution that works for you, Reply STOP to opt out of these messages.",1.27
321846,RED,0.3911663216011042,Escalate for manual credit review and enhanced monitoring,"This customer is at financial risk because they have a history of not managing their debt well with other lenders, which suggests they may struggle to repay our loan. Additionally, their recent job change or short work history raises concerns about their ability to maintain a stable income. Overall, these factors indicate a higher likelihood that the customer may default on their loan payments.","Hi, I'm your relationship manager at the bank. I wanted to check in with you about your loan and see if there's a way we can make your payments more manageable - extending your tenure to 48 months could lower your monthly EMI to Rs 5,156, saving you Rs 7,219 each month. We're here to support you and want to make sure you have access to the help you need, including Rs 45,000 in emergency credit if you need it. Reply STOP to opt out of these messages.",1.06
351410,RED,0.2982462488541516,Escalate for manual credit review and enhanced monitoring,"This customer is at financial risk because they have a history of not managing their debts well with other lenders, which raises concerns about their ability to repay our loan. Additionally, their recent job change or short work history may affect their income stability, making it harder for them to make payments. Overall, these factors suggest a higher chance that this customer may default on their loan.","Hi, I'm your relationship manager at the bank. I wanted to check in with you about your loan and see if there's a way we can make your payments more manageable - extending your tenure to 48 months could lower your monthly EMI to Rs 20,978, saving you Rs 30,565 each month. We're here to support you and want to make sure you have access to the help you need, including Rs 83,250 in emergency credit if you need it. Reply STOP to opt out of these messages.",1.48
363776,RED,0.3911663216011042,Escalate for manual credit review and enhanced monitoring,"This customer is at financial risk because they have a history of struggling with debt repayments, as shown by their poor credit scores from other lenders. Their recent job change or short employment history also raises concerns about their ability to maintain a stable income. Overall, these factors suggest that the customer may not be able to repay their loan, making them a high-risk borrower.","Hi, I'm your relationship manager at the bank. I wanted to check in with you about your loan and see if there's a way we can make your payments more manageable - extending your tenure to 48 months could lower your monthly EMI to Rs 12,495, saving you Rs 20,170 each month. You also have Rs 40,500 in emergency credit available if you need it. Reply STOP to opt out of these messages.",1.21
166822,RED,0.2889869895948924,Initiate credit counseling and bureau dispute check,"This customer is at high financial risk because their credit history with other lenders is weak, suggesting they may have missed payments in the past. Additionally, their recent job change or short employment tenure raises concerns about their income stability, making it uncertain whether they can repay the loan. Overall, these factors indicate a higher likelihood of default, making this customer a risky borrower.","Hi, I'm here to help you manage your finances. I noticed that extending your loan tenure to 48 months could lower your monthly EMI to Rs 9,375, saving you Rs 26,310 each month. You also have an emergency credit of Rs 112,500 available if you need it. Let's discuss how we can work together to make your payments more manageable, Reply STOP to opt out of these messages.",0.97
203045,RED,0.2889869895948924,Initiate credit counseling and bureau dispute check,"This customer is at financial risk because they have a history of not paying debts on time, which is indicated by a low credit score from a third-party assessment. Additionally, their recent job change or short employment tenure raises concerns about their income stability, making it harder for them to repay loans. The customer's recent phone number change also suggests potential credit risk, as it may be an attempt to avoid communication about debt obligations.","Hi, I'm your relationship manager at the bank. I wanted to check in with you about your current loan situation - I see that you're paying Rs 9,171 per month, and I think we might be able to help you reduce that burden. If we extend your loan tenure to 48 months, your new EMI could be as low as Rs 6,000, saving you Rs 3,171 every month. Let's discuss how we can work together to make your finances more manageable, Reply STOP to opt out of these messages.",1.21
451514,RED,0.3911663216011042,Initiate credit counseling and bureau dispute check,"This customer is at high financial risk because independent credit assessments indicate they have a history of missing payments or a limited credit history. Additionally, their overall credit score with other lenders is lower than average, suggesting they may struggle to repay debts. A recent change in their registered phone number also raises concerns, as this behavior is often linked to increased credit risk.","Hi, I'm here to help you manage your finances. I noticed that extending your loan tenure to 48 months could lower your monthly EMI to Rs 6,562, saving you Rs 9,188 each month. You also have an emergency credit of Rs 51,750 available if needed. Let's discuss how we can work together to find a solution that suits you, Reply STOP to opt out of these messages.",0.97
425481,RED,0.3909565888341497,Escalate for manual credit review and enhanced monitoring,"This customer is at financial risk because they have a history of not managing debt well with other lenders, which raises concerns about their ability to repay our loan. Additionally, their recent job changes or short work history may affect their income stability, making it harder for them to make payments. Overall, these factors suggest the customer may struggle to repay the loan, posing a significant risk to the bank.","Hi, I'm your relationship manager at the bank. I wanted to check in with you about your loan and see if we can work together to make your payments more manageable - extending your tenure to 48 months could lower your monthly EMI to Rs 2,808, saving you Rs 6,908 each month. You also have an emergency credit of Rs 33,750 available if you need it. Reply STOP to opt out of these messages.",1.43
395367,RED,0.2889869895948924,Escalate for manual credit review and enhanced monitoring,"This customer is at financial risk because they have a history of not managing their debts well with other lenders, which raises concerns about their ability to repay our loan. Additionally, their recent job change or short job tenure may affect their income stability, making it harder for them to make payments. Overall, these factors suggest a higher likelihood that this customer may default on their loan.","Hi, I'm your relationship manager at the bank. I wanted to check in with you about your loan and see if there's a way we can make your payments more manageable - extending your tenure to 48 months could lower your monthly EMI to Rs 13,203, saving you Rs 14,710 every month. You also have an emergency credit of Rs 67,500 available if you need it. Reply STOP to opt out of these messages.",0.88
199055,RED,0.4169944103424823,Initiate credit counseling and bureau dispute check,"This customer is at high financial risk because their credit history with other lenders is weak, indicating they may have had trouble paying back debts on time in the past. Additionally, their employment situation is unstable, with either a very short job tenure or a recent job change, which could affect their ability to repay loans. Overall, these factors suggest the customer may struggle to manage their debt obligations.","Hi, I'm here to help you manage your finances. I noticed that extending your loan tenure to 48 months could lower your monthly EMI to Rs 17,408, saving you Rs 7,153 every month. This might help you breathe a bit easier, and I'd be happy to discuss this option further with you. If you're interested, let's chat more - Reply STOP to opt out of these messages.",1.34
